Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,Month,Year,Day,Day_of_Week,Age_Range,Total_Spend,Total_Purchase
Graduation,Divorced,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,84835.0,Jun,2014,16,Mon,50-59,1190,15
Graduation,Single,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,57091.0,Jun,2014,15,Sun,60-69,577,18
Graduation,Married,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,67267.0,May,2014,13,Tue,60-69,251,11
Graduation,Together,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,32474.0,May,2014,11,Sun,50-59,11,4
Graduation,Single,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,21474.0,Apr,2014,8,Tue,30-39,91,8
PhD,Single,0,0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,71691.0,Mar,2014,17,Mon,60-69,1192,17
2n Cycle,Married,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,63564.0,Jan,2014,29,Wed,60-69,1215,28
Graduation,Together,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,44931.0,Jan,2014,18,Sat,50-59,96,7
PhD,Married,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,65324.0,Jan,2014,11,Sat,60-69,544,20
PhD,Married,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,65324.0,Jan,2014,11,Sat,60-69,544,20
2n Cycle,Married,0,0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,81044.0,Dec,2013,27,Fri,70-79,1208,22
Master,Together,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,62499.0,Dec,2013,9,Mon,40-49,222,12
PhD,Widow,0,0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,67786.0,Dec,2013,7,Sat,60-69,1156,16
Graduation,Married,0,0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,26872.0,Oct,2013,16,Wed,40-49,72,5
Graduation,Married,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,4428.0,Oct,2013,5,Sat,50-59,359,25
Graduation,Married,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,54809.0,Sep,2013,11,Wed,40-49,174,12
Graduation,Married,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,54809.0,Sep,2013,11,Wed,40-49,174,12
PhD,Divorced,0,1,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,32173.0,Aug,2013,1,Thur,60-69,22,5
2n Cycle,Single,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,47823.0,Jul,2013,23,Tue,60-69,72,7
Master,Single,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,30523.0,Jul,2013,1,Mon,60-69,13,4
Master,Together,0,1,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,36634.0,May,2013,28,Tue,60-69,335,15
Master,Single,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,43456.0,Mar,2013,26,Tue,50-59,393,17
Master,Married,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,40662.0,Mar,2013,15,Fri,40-49,92,8
PhD,Married,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,49544.0,Feb,2013,12,Tue,40-49,404,16
Graduation,Single,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,57731.0,Nov,2012,23,Fri,50-59,704,26
Master,Single,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,33168.0,Oct,2012,13,Sat,50-59,122,10
Graduation,Together,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,54450.0,Sep,2012,14,Fri,60-69,684,31
Graduation,Together,1,1,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,54450.0,Sep,2012,14,Fri,60-69,684,31
PhD,Widow,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,35340.0,Jun,2014,29,Sun,60-69,45,7
Graduation,Single,0,0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,73170.0,May,2014,31,Sat,40-49,726,16
PhD,Divorced,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,65808.0,May,2014,30,Fri,50-59,272,14
Graduation,Married,0,0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,79529.0,Apr,2014,27,Sun,30-39,1638,22
PhD,Together,2,1,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,34578.0,Apr,2014,11,Fri,80-89,8,4
PhD,Married,0,1,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,1,0,IND,46374.0,Mar,2014,17,Mon,40-49,446,18
